"9. Dezember 2013, Mon Dec 09 02:20:21 CET 2013",Joel Compass,Run
"22. Oktober 2013, Tue Oct 22 21:16:26 CEST 2013",Jay-Z,Picasso Baby
"28. Januar 2014, Tue Jan 28 08:56:54 CET 2014",Rihanna feat. Mikky Ekko,Stay
"29. Oktober 2013, Tue Oct 29 03:21:13 CET 2013",Miss Platnum,99 Probleme
"27. Februar 2014, Thu Feb 27 11:40:44 CET 2014",Phoenix,Lisztomania
"4. Januar 2014, Sat Jan 04 15:36:00 CET 2014",Kraftklub,Ich will nicht nach Berlin
"4. März 2014, Tue Mar 04 22:17:30 CET 2014",Totally Enormous Extinct Dinosaurs,Garden
"20. Februar 2014, Thu Feb 20 19:04:34 CET 2014",Chris Brown,Don't wake me up
"20. Oktober 2013, Sun Oct 20 06:56:19 CEST 2013",Katy Perry,Roar
"26. Februar 2014, Wed Feb 26 20:25:46 CET 2014",Haim,Forever
"1. Januar 2014, Wed Jan 01 17:06:48 CET 2014",Sido feat. Mark Foster,Einer dieser Steine
"11. Januar 2014, Sat Jan 11 23:10:31 CET 2014",Ben Pearce,What I Might Do
"22. Oktober 2013, Tue Oct 22 10:56:26 CEST 2013",Lykke Li,I Follow Rivers (The Magician Remix)
"6. Oktober 2013, Sun Oct 06 09:22:22 CEST 2013",Casper,Hinterland
"20. Februar 2014, Thu Feb 20 22:31:11 CET 2014",Santigold,Say Aha
"17. September 2013, Tue Sep 17 16:41:43 CEST 2013",The Ian Carey Project,Get shaky
"21. November 2013, Thu Nov 21 02:21:05 CET 2013",Abby,Again
"31. Januar 2014, Fri Jan 31 03:36:42 CET 2014",Lady Gaga feat. R Kelly,Lady Gaga feat. R Kelly - Do what u want
"13. Oktober 2013, Sun Oct 13 14:17:17 CEST 2013",Foo Fighters,Long Road To Ruin
"18. Februar 2014, Tue Feb 18 15:47:28 CET 2014",Max Herre,A-N-N-A (Immer Wenn Es Regnet)
"30. September 2013, Mon Sep 30 04:28:19 CEST 2013",Cro,Whatever
"2. März 2014, Sun Mar 02 15:23:54 CET 2014",Snoop Dogg,Sweat (David Guetta Remix)
"26. November 2013, Tue Nov 26 10:23:55 CET 2013",Mando Diao,Down in the past unplugged
"5. Oktober 2013, Sat Oct 05 21:38:28 CEST 2013",Left Boy,Get It Right
"23. Februar 2014, Sun Feb 23 03:54:23 CET 2014",Chvrches,We Sink
"2. November 2013, Sat Nov 02 06:50:27 CET 2013",Olly Murs,Dear Darlin'
"27. Januar 2014, Mon Jan 27 16:15:22 CET 2014",Gentleman,It no pretty
"11. Oktober 2013, Fri Oct 11 16:45:34 CEST 2013",Chris Brown,Don't wake me up
"5. Februar 2014, Wed Feb 05 17:13:06 CET 2014",Beatsteaks,I don't care as long as you sing
"19. Dezember 2013, Thu Dec 19 02:25:31 CET 2013",Bastille,Things We Lost in the Fire
"11. Oktober 2013, Fri Oct 11 09:55:33 CEST 2013",Pink feat. Nate Ruess,Just give me a reason
"2. Oktober 2013, Wed Oct 02 19:05:17 CEST 2013",DJ Fresh feat. Rita Ora,Hot Right Now
"2. Februar 2014, Sun Feb 02 16:25:00 CET 2014",Green Day,Wake me up when September ends
"30. Januar 2014, Thu Jan 30 11:37:00 CET 2014",Pharrell Williams,Happy
"16. November 2013, Sat Nov 16 05:27:46 CET 2013",Jack Johnson,"Sitting, Waiting, Wishing"
"12. Januar 2014, Sun Jan 12 15:41:11 CET 2014",Green Day,When I come around
"2. Dezember 2013, Mon Dec 02 19:30:54 CET 2013",Ryan Lewis feat. Mary Lambert Macklemore,Same Love
"11. Februar 2014, Tue Feb 11 21:30:55 CET 2014",Marteria,OMG!
"24. Januar 2014, Fri Jan 24 08:43:46 CET 2014",Frank Turner,Recovery
"19. September 2013, Thu Sep 19 21:41:10 CEST 2013",Nirvana,All Apologies (Live)
"14. Januar 2014, Tue Jan 14 17:13:07 CET 2014",DJ Fresh feat. Rita Ora,Hot Right Now
"13. November 2013, Wed Nov 13 10:48:00 CET 2013",Thirty Seconds To Mars,City Of Angels
"18. Januar 2014, Sat Jan 18 16:42:40 CET 2014",Maroon 5 feat. Christina Aguilera,Moves like Jagger
"27. Dezember 2013, Fri Dec 27 07:03:45 CET 2013",Florence and the Machine,Spectrum (Say my name - Calvin Harris Remix)
"7. November 2013, Thu Nov 07 10:37:45 CET 2013",Jessie J feat. B.o.B.,Price tag
"3. Februar 2014, Mon Feb 03 14:22:14 CET 2014",Ed Sheeran,I See Fire
"23. Oktober 2013, Wed Oct 23 10:25:11 CEST 2013",Sunrise Avenue,Hollywood hills
"12. Dezember 2013, Thu Dec 12 05:23:54 CET 2013",The All-American Rejects,I Wanna
"5. Oktober 2013, Sat Oct 05 21:54:20 CEST 2013",Yeah Yeah Yeahs,Heads will roll (A-Trak Remix)
"20. Januar 2014, Mon Jan 20 01:05:17 CET 2014",Stromae,Stromae - Papaoutai
"15. Februar 2014, Sat Feb 15 02:42:53 CET 2014",Eminem feat. Rihanna,The Monster
"3. Oktober 2013, Thu Oct 03 08:47:53 CEST 2013",OneRepublic,Counting Stars
"6. Januar 2014, Mon Jan 06 20:52:50 CET 2014",Sam Smith,Money On My Mind
"8. Dezember 2013, Sun Dec 08 17:07:00 CET 2013",Judith Holofernes,Liebe Teil 2 - Jetzt erst recht
"17. Oktober 2013, Thu Oct 17 07:07:54 CEST 2013",Gossip,Love Long Distance
"21. November 2013, Thu Nov 21 22:30:50 CET 2013",Jake Bugg,Slumville Sunrise
"28. Oktober 2013, Mon Oct 28 07:24:25 CET 2013",Milky Chance,Stolen Dance
"25. Dezember 2013, Wed Dec 25 22:23:40 CET 2013",Bastille,Pompeii
"25. Oktober 2013, Fri Oct 25 08:38:42 CEST 2013",Casper,Hinterland
"20. Oktober 2013, Sun Oct 20 04:28:49 CEST 2013",Alligatoah,Trauerfeier Lied
"9. Februar 2014, Sun Feb 09 04:35:48 CET 2014",Bastille,Of The Night
"9. Dezember 2013, Mon Dec 09 11:23:39 CET 2013",Mando Diao,Down in the past unplugged
"18. November 2013, Mon Nov 18 16:31:53 CET 2013",Stromae,Papaoutai
"10. Februar 2014, Mon Feb 10 06:57:13 CET 2014",Bastille,Of The Night
"10. Januar 2014, Fri Jan 10 04:53:12 CET 2014",Arctic Monkeys,Snap Out Of It
"29. Oktober 2013, Tue Oct 29 03:57:04 CET 2013",Placebo,Too Many Friends
"14. November 2013, Thu Nov 14 12:56:08 CET 2013",Seeed,Augenbling
"13. Dezember 2013, Fri Dec 13 10:38:18 CET 2013",Maximo Park,Books From Boxes
"24. September 2013, Tue Sep 24 19:24:07 CEST 2013",Pink,Please Don't Leave Me
"20. Januar 2014, Mon Jan 20 13:21:44 CET 2014",Ed Sheeran,I See Fire
"1. Oktober 2013, Tue Oct 01 17:46:04 CEST 2013",Family Of The Year,Hero
"17. Dezember 2013, Tue Dec 17 16:45:55 CET 2013",Foxes,Youth
"20. Januar 2014, Mon Jan 20 16:57:00 CET 2014",Razorlight,America
"2. Januar 2014, Thu Jan 02 07:14:14 CET 2014",Kings Of Leon,Supersoaker
"23. November 2013, Sat Nov 23 20:50:34 CET 2013",Avicii,Hey Brother
"13. Oktober 2013, Sun Oct 13 11:56:20 CEST 2013",Usher,DJ got us fallin' in love
"1. Oktober 2013, Tue Oct 01 14:04:28 CEST 2013",Imagine Dragons,On Top Of The World
"20. November 2013, Wed Nov 20 02:45:31 CET 2013",Prinz Pi,Kompass ohne Norden
"30. November 2013, Sat Nov 30 07:16:59 CET 2013",Revolverheld,Spinner
"9. Januar 2014, Thu Jan 09 03:37:31 CET 2014",Hot Chip,Dark & Stormy
"2. Februar 2014, Sun Feb 02 13:03:56 CET 2014",Capital Cities,Safe and Sound
"1. November 2013, Fri Nov 01 11:36:57 CET 2013",Birdy,Wings
"14. Dezember 2013, Sat Dec 14 21:19:04 CET 2013",Justin Timberlake,Like I love you
"15. Januar 2014, Wed Jan 15 06:22:53 CET 2014",Beatsteaks,I don't care as long as you sing
"20. November 2013, Wed Nov 20 20:43:54 CET 2013",Drake feat. Sampha,Too much
"11. Oktober 2013, Fri Oct 11 07:07:41 CEST 2013",Adel Tawil,Lieder
"21. November 2013, Thu Nov 21 15:38:04 CET 2013",Gossip,Heavy Cross
"9. November 2013, Sat Nov 09 14:04:36 CET 2013",Bastille,Things We Lost in the Fire
"6. März 2014, Thu Mar 06 12:42:01 CET 2014",Lady Gaga feat. R Kelly,Do what u want
"19. Dezember 2013, Thu Dec 19 17:39:33 CET 2013",Aloe Blacc,Loving you is killing me
"19. Dezember 2013, Thu Dec 19 07:23:16 CET 2013",Birdy,People help the people
"27. November 2013, Wed Nov 27 17:08:37 CET 2013",The Fray,Love Don't Die
"6. Februar 2014, Thu Feb 06 12:17:09 CET 2014",Run D.M.C.,It's like that
"27. November 2013, Wed Nov 27 08:39:15 CET 2013",Fettes Brot,Jein 2010
"6. Oktober 2013, Sun Oct 06 18:53:05 CEST 2013",Example,Stay awake
"23. Januar 2014, Thu Jan 23 21:03:58 CET 2014",Jake Bugg,Slumville Sunrise
"30. September 2013, Mon Sep 30 12:23:34 CEST 2013",Milky Chance,Stolen Dance
"23. Februar 2014, Sun Feb 23 09:34:38 CET 2014",Bastille,Of The Night
"8. November 2013, Fri Nov 08 10:26:33 CET 2013",Jason Derulo,Whatcha Say
"10. Oktober 2013, Thu Oct 10 04:14:52 CEST 2013",Leslie Clio,Told you so
"12. Januar 2014, Sun Jan 12 10:04:08 CET 2014",Cro,Du
"2. Dezember 2013, Mon Dec 02 06:13:22 CET 2013",Alex Clare,Too close
"1. März 2014, Sat Mar 01 04:47:20 CET 2014",Kings of Leon,On Call
"26. Januar 2014, Sun Jan 26 07:03:27 CET 2014",Ellie Goulding,Lights
"4. März 2014, Tue Mar 04 09:25:31 CET 2014",Gentleman,Lonely days
"1. November 2013, Fri Nov 01 16:52:52 CET 2013",Olly Murs feat. Rizzle Kicks,Heart skips a beat
"27. Oktober 2013, Sun Oct 27 20:03:50 CET 2013",Icona Pop,I love it
"28. September 2013, Sat Sep 28 13:44:57 CEST 2013",Chvrches,The mother we share
"6. März 2014, Thu Mar 06 10:56:50 CET 2014",DJ Fresh feat. Rita Ora,Hot Right Now
"19. Dezember 2013, Thu Dec 19 08:49:12 CET 2013",Emeli Sandé,Read all about it (part 3)
"16. Dezember 2013, Mon Dec 16 17:46:30 CET 2013",Casper,Hinterland
"8. Januar 2014, Wed Jan 08 17:04:45 CET 2014",Seeed,Molotov
"19. Oktober 2013, Sat Oct 19 13:24:19 CEST 2013",Bruno Mars,Lazy song
"28. Februar 2014, Fri Feb 28 19:31:21 CET 2014",Vance Joy,Riptide
"21. Oktober 2013, Mon Oct 21 07:44:37 CEST 2013",Rihanna,Diamonds
"24. November 2013, Sun Nov 24 18:34:09 CET 2013",Gossip,Heavy Cross
"14. Februar 2014, Fri Feb 14 06:39:27 CET 2014",Linkin Park,Breaking the habit
"4. Januar 2014, Sat Jan 04 11:31:25 CET 2014",Seeed,Augenbling
"19. Januar 2014, Sun Jan 19 14:25:03 CET 2014",Seeed,Wonderful life
"2. März 2014, Sun Mar 02 04:57:55 CET 2014",Flo Rida feat. David Guetta,Club can't handle me
"13. Januar 2014, Mon Jan 13 22:47:55 CET 2014",Solange,Losing you
"15. Dezember 2013, Sun Dec 15 11:26:21 CET 2013",Mumford & Sons,Lover of the light
"31. Oktober 2013, Thu Oct 31 02:27:39 CET 2013",Rihanna,What Now
"23. Dezember 2013, Mon Dec 23 20:34:31 CET 2013",Foals,Miami akustisch
"23. November 2013, Sat Nov 23 11:31:32 CET 2013",Martin Solveig & The Cataracs feat. Kyle,Hey now
"20. Februar 2014, Thu Feb 20 05:42:09 CET 2014",Madcon,Glow
"12. Februar 2014, Wed Feb 12 21:14:26 CET 2014",William Fitzsimmons,With Every Heartbeat (1LIVE Akustikset)
"21. Februar 2014, Fri Feb 21 12:17:04 CET 2014",Daft Punk,One more time (short version)
"14. Oktober 2013, Mon Oct 14 03:36:45 CEST 2013",The Strokes,All The Time
"8. Februar 2014, Sat Feb 08 06:51:36 CET 2014",Sido feat. Mark Foster,Einer dieser Steine
"20. Januar 2014, Mon Jan 20 14:06:54 CET 2014",Fettes Brot,Für immer immer*
"3. Oktober 2013, Thu Oct 03 09:27:00 CEST 2013",Biffy Clyro,Many of horror
"6. Januar 2014, Mon Jan 06 03:16:08 CET 2014",Imagine Dragons,It's time
"15. Februar 2014, Sat Feb 15 02:14:19 CET 2014",Bastille,Things We Lost in the Fire
"25. September 2013, Wed Sep 25 14:35:15 CEST 2013",Afroman,Because I got high
"30. September 2013, Mon Sep 30 04:17:23 CEST 2013",Martin Solveig,The Night Out
"4. März 2014, Tue Mar 04 11:35:09 CET 2014",Zedd feat. Hayley Williams of Paramore,Stay The Night
"6. März 2014, Thu Mar 06 16:25:54 CET 2014",Coldplay,Talk
"6. Oktober 2013, Sun Oct 06 03:05:31 CEST 2013",Bastille,Things We Lost in the Fire
"28. Dezember 2013, Sat Dec 28 02:27:48 CET 2013",Lorde,Team
"26. Dezember 2013, Thu Dec 26 03:05:29 CET 2013",Milky Chance,Stolen Dance
"30. Dezember 2013, Mon Dec 30 05:56:34 CET 2013",Jason Derulo,The other side
"8. Februar 2014, Sat Feb 08 04:05:23 CET 2014",Casper,Alles endet (aber nie die Musik)
"24. September 2013, Tue Sep 24 20:54:09 CEST 2013",Ben Howard,The wolves
"11. Januar 2014, Sat Jan 11 19:48:16 CET 2014",Cro,Du
"4. März 2014, Tue Mar 04 04:20:30 CET 2014",Casper,Hinterland
"17. Oktober 2013, Thu Oct 17 21:48:02 CEST 2013",Talking Heads,Psycho killer
"10. Januar 2014, Fri Jan 10 04:37:13 CET 2014",The 1975,Chocolate
"30. September 2013, Mon Sep 30 05:35:50 CEST 2013",NONONO,Pumpin Blood
"11. November 2013, Mon Nov 11 02:09:45 CET 2013",Jamie Woon,Lady luck
"4. November 2013, Mon Nov 04 06:46:08 CET 2013",Die Ärzte,Nichts in der Welt
"23. Januar 2014, Thu Jan 23 15:22:06 CET 2014",The Fray,Love Don't Die
"25. September 2013, Wed Sep 25 14:07:39 CEST 2013",Rihanna,Rehab
"5. Januar 2014, Sun Jan 05 13:23:27 CET 2014",Maroon 5 feat. Christina Aguilera,Moves like Jagger
"3. November 2013, Sun Nov 03 19:16:25 CET 2013",Mumford & Sons,Lover of the light
"27. Februar 2014, Thu Feb 27 11:49:50 CET 2014",Baby D,I need your loving
"16. Dezember 2013, Mon Dec 16 11:19:58 CET 2013",Peter Fox,"Ich Steine, Du Steine (Live)"
"17. Februar 2014, Mon Feb 17 04:33:25 CET 2014",Disclosure feat. London Grammar,Help Me Lose My Mind
"10. Dezember 2013, Tue Dec 10 03:22:22 CET 2013",Awolnation,Sail
"24. Oktober 2013, Thu Oct 24 16:41:18 CEST 2013",Eric Prydz,Pjanoo
"3. Januar 2014, Fri Jan 03 19:53:14 CET 2014",Marteria feat. Yasha & Miss Platnum,Feuer
"1. Februar 2014, Sat Feb 01 23:07:19 CET 2014",Hardwell feat. Mitch Crown,Call Me a Spaceman
"26. November 2013, Tue Nov 26 12:04:00 CET 2013",The Lumineers,Ho Hey
"23. Februar 2014, Sun Feb 23 03:37:38 CET 2014",Editors,Honesty
"18. Februar 2014, Tue Feb 18 16:50:27 CET 2014",Swedish House Mafia,Save The World
"6. Dezember 2013, Fri Dec 06 18:07:48 CET 2013",Linkin Park feat. Steve Aoki,A Light That Never Comes
"9. Oktober 2013, Wed Oct 09 06:14:57 CEST 2013",Rihanna,Diamonds
"12. Oktober 2013, Sat Oct 12 10:24:46 CEST 2013",Revolverheld,Das kann uns keiner nehmen
"26. Oktober 2013, Sat Oct 26 18:13:05 CEST 2013",MGMT,Kids
"7. November 2013, Thu Nov 07 10:41:24 CET 2013",Gentleman,In my arms
"24. Dezember 2013, Tue Dec 24 20:35:40 CET 2013",Eminem feat. Rihanna,Love The Way You Lie
"27. Februar 2014, Thu Feb 27 04:18:12 CET 2014",Justin Timberlake,What Goes Around.../...Comes Around (Interlude)
"27. Oktober 2013, Sun Oct 27 14:14:07 CET 2013",Alex Clare,Too close
"22. Dezember 2013, Sun Dec 22 15:48:18 CET 2013",Florence and the Machine,Spectrum (Say my name - Calvin Harris Remix)
"8. November 2013, Fri Nov 08 05:37:02 CET 2013",John Newman,Cheating
"30. November 2013, Sat Nov 30 07:36:38 CET 2013",Ellie Goulding,Burn
"15. Dezember 2013, Sun Dec 15 18:18:23 CET 2013",David Guetta feat. Nicki Minaj,Turn me on
"26. November 2013, Tue Nov 26 02:47:57 CET 2013",RY X,Berlin
"3. Januar 2014, Fri Jan 03 13:39:07 CET 2014",Thirty Seconds To Mars,Kings and Queens
"30. Oktober 2013, Wed Oct 30 17:31:48 CET 2013",Stromae,Papaoutai
"25. Oktober 2013, Fri Oct 25 20:26:53 CEST 2013",The Weeknd feat. Drake,Live For
"29. September 2013, Sun Sep 29 09:24:22 CEST 2013",Taio Cruz,Hangover
"23. November 2013, Sat Nov 23 21:07:46 CET 2013",Kevin Lyttle,Turn me on
"18. November 2013, Mon Nov 18 05:56:05 CET 2013",Alex Clare,Treading water
"30. Januar 2014, Thu Jan 30 10:39:32 CET 2014",Jessie J,Wild
"6. Januar 2014, Mon Jan 06 11:21:48 CET 2014",Faul & Wad Ad vs. Pnau,Changes
"14. Januar 2014, Tue Jan 14 06:08:27 CET 2014",Robbie Williams,Kids
"11. November 2013, Mon Nov 11 16:04:12 CET 2013",Martin Solveig & The Cataracs feat. Kyle,Hey now
"5. November 2013, Tue Nov 05 06:22:04 CET 2013",Avicii,Hey Brother
"15. November 2013, Fri Nov 15 03:41:27 CET 2013",NONONO,Pumpin Blood
"19. Dezember 2013, Thu Dec 19 11:08:15 CET 2013",Naughty Boy feat. Emeli Sandé,Lifted
"8. Februar 2014, Sat Feb 08 05:06:15 CET 2014",Pharrell Williams,Happy
"3. Dezember 2013, Tue Dec 03 05:24:11 CET 2013",Foo Fighters,Wheels
"11. November 2013, Mon Nov 11 21:15:37 CET 2013",Hot Chip,How do you do
"31. Dezember 2013, Tue Dec 31 16:27:48 CET 2013",Black Eyed Peas,Just can't get enough
"30. November 2013, Sat Nov 30 20:04:53 CET 2013",Martin Garrix,Animals
"22. Januar 2014, Wed Jan 22 03:19:46 CET 2014",C2C,C2C - Down the road
"7. März 2014, Fri Mar 07 18:42:31 CET 2014",Birdy,Skinny Love
"17. November 2013, Sun Nov 17 15:41:03 CET 2013",Red Hot Chili Peppers,Under the bridge
"27. Januar 2014, Mon Jan 27 13:16:14 CET 2014",Two Door Cinema Club,Sleep alone
"2. Dezember 2013, Mon Dec 02 19:52:54 CET 2013",Ellie Goulding,Under the sheets
"19. Dezember 2013, Thu Dec 19 07:49:16 CET 2013",Thirty Seconds To Mars,The Kill (Bury Me)
"9. November 2013, Sat Nov 09 19:24:42 CET 2013",Avicii,Hey Brother
"15. Oktober 2013, Tue Oct 15 05:14:41 CEST 2013",Jason Derulo,In my head
"24. Dezember 2013, Tue Dec 24 12:18:32 CET 2013",Robin Thicke feat. T.I. & Pharrell,Blurred lines
"5. Februar 2014, Wed Feb 05 06:07:27 CET 2014",Stromae,Papaoutai
"28. November 2013, Thu Nov 28 21:10:25 CET 2013",Casper,Jambalaya
"3. Januar 2014, Fri Jan 03 16:20:17 CET 2014",Outatime Orchestra,Back to the future
"15. Januar 2014, Wed Jan 15 08:37:59 CET 2014",Pharrell Williams,Happy
"24. Oktober 2013, Thu Oct 24 03:11:03 CEST 2013",Arcade Fire,Reflektor
"3. Januar 2014, Fri Jan 03 10:27:13 CET 2014",Coldplay,Lost!
"2. Januar 2014, Thu Jan 02 17:06:36 CET 2014",Rihanna,What Now
"28. November 2013, Thu Nov 28 06:46:50 CET 2013",Klingande,Jubel
"19. Januar 2014, Sun Jan 19 10:53:06 CET 2014",Kings Of Leon,Supersoaker
"24. September 2013, Tue Sep 24 23:56:21 CEST 2013",Tinariwen,Tenere Taqqim
"24. Dezember 2013, Tue Dec 24 19:56:18 CET 2013",Lily Allen,Somewhere only we know
"18. Februar 2014, Tue Feb 18 06:08:15 CET 2014",Lorde,Team
"2. November 2013, Sat Nov 02 20:26:06 CET 2013",Martin Garrix,Animals
"5. November 2013, Tue Nov 05 11:54:42 CET 2013",Kings of Leon,Sex On Fire
"20. November 2013, Wed Nov 20 07:40:48 CET 2013",Lady Gaga feat. R. Kelly,Do What U Want
"29. September 2013, Sun Sep 29 18:35:51 CEST 2013",Icona Pop,I love it
"28. Dezember 2013, Sat Dec 28 09:14:00 CET 2013",Ben Howard,Only love
"14. Januar 2014, Tue Jan 14 16:13:34 CET 2014",Mando Diao,Down in the past
"19. November 2013, Tue Nov 19 13:07:40 CET 2013",Foxes,Youth
"2. Dezember 2013, Mon Dec 02 18:04:44 CET 2013",Pink,Trouble
"9. Oktober 2013, Wed Oct 09 11:31:38 CEST 2013",Olly Murs,Dear Darlin'
"14. Februar 2014, Fri Feb 14 04:07:12 CET 2014",Max Frost,White Lies
"8. Oktober 2013, Tue Oct 08 05:09:34 CEST 2013",Pink,So what
"27. Februar 2014, Thu Feb 27 05:56:04 CET 2014",Jason Derulo,The other side
"25. September 2013, Wed Sep 25 09:07:16 CEST 2013",Olly Murs,Dear Darlin'
"19. Januar 2014, Sun Jan 19 03:17:44 CET 2014",One Republic,If I lose myself
"11. November 2013, Mon Nov 11 09:13:24 CET 2013",Billy Talent,Red Flag
"21. Oktober 2013, Mon Oct 21 16:31:45 CEST 2013",Bastille,Things We Lost in the Fire
"2. Oktober 2013, Wed Oct 02 15:41:06 CEST 2013",Rudimental feat. John Newman,Feel the Love
"23. Oktober 2013, Wed Oct 23 03:08:53 CEST 2013",Sbtrkt,Hold on
"4. März 2014, Tue Mar 04 13:52:44 CET 2014",David Guetta feat. Usher,Without you
"6. Februar 2014, Thu Feb 06 03:20:26 CET 2014",Bombay Bicycle Club,Carry Me
"5. Februar 2014, Wed Feb 05 20:34:19 CET 2014",Two Door Cinema Club,Sleep alone
"22. September 2013, Sun Sep 22 10:44:57 CEST 2013",Mary J. Blige,Family affair
"11. Februar 2014, Tue Feb 11 11:03:38 CET 2014",Die Ärzte,Junge
"19. September 2013, Thu Sep 19 20:03:57 CEST 2013",Eminem,Berzerk
"19. Oktober 2013, Sat Oct 19 05:56:48 CEST 2013",Sportfreunde Stiller,"New York, Rio, Rosenheim"
"18. Oktober 2013, Fri Oct 18 05:07:09 CEST 2013",Ellie Goulding,Burn
"5. Februar 2014, Wed Feb 05 14:17:27 CET 2014",Kesha,TikTok
"1. November 2013, Fri Nov 01 19:26:49 CET 2013",Daft Punk,Around the world
"23. November 2013, Sat Nov 23 09:24:46 CET 2013",Gorillaz,Clint Eastwood
"27. September 2013, Fri Sep 27 19:55:45 CEST 2013",Bastille,Things We Lost in the Fire
"5. Januar 2014, Sun Jan 05 10:30:54 CET 2014",Klingande,Jubel
"11. Dezember 2013, Wed Dec 11 03:37:12 CET 2013",Chet Faker,I'm into you
"25. Januar 2014, Sat Jan 25 21:57:04 CET 2014",Feed Me vs. Crystal Fighters,Love is all I've got
"25. Dezember 2013, Wed Dec 25 04:22:04 CET 2013",Lily Allen,Hard Out Here
"19. Dezember 2013, Thu Dec 19 11:04:10 CET 2013",Billy Talent,Rusted From The Rain
"24. Oktober 2013, Thu Oct 24 04:34:11 CEST 2013",John Newman,Cheating
"3. November 2013, Sun Nov 03 18:13:49 CET 2013",Phoenix,Lisztomania
"4. Januar 2014, Sat Jan 04 04:00:24 CET 2014",Pitbull feat. Kesha,Timber
"3. März 2014, Mon Mar 03 09:32:30 CET 2014",Maroon 5 feat. Christina Aguilera,Moves like Jagger
"20. Februar 2014, Thu Feb 20 08:51:13 CET 2014",John Newman,Cheating
"13. Oktober 2013, Sun Oct 13 17:25:53 CEST 2013",Mumford & Sons,Lover of the light
"13. Oktober 2013, Sun Oct 13 15:33:29 CEST 2013",Macklemore & Ryan Lewis feat. Mary Lambert,Same Love
"24. November 2013, Sun Nov 24 09:44:43 CET 2013",Martin Solveig,The Night Out
"29. Januar 2014, Wed Jan 29 09:50:43 CET 2014",Justin Timberlake feat. Jay-Z,Suit & Tie
"13. Februar 2014, Thu Feb 13 10:20:54 CET 2014",Placebo,Loud Like Love
"23. Dezember 2013, Mon Dec 23 10:33:34 CET 2013",Rudimental feat. Emeli Sandé,Free
"17. Dezember 2013, Tue Dec 17 16:37:22 CET 2013",Rudimental feat. Emeli Sandé,Free
"13. Dezember 2013, Fri Dec 13 03:20:18 CET 2013",Sohn,Lessons
"24. Oktober 2013, Thu Oct 24 21:06:10 CEST 2013",Lorde,Royals
"18. September 2013, Wed Sep 18 22:28:25 CEST 2013",Maya Jane Coles feat. Karin Park,Everything
"26. Oktober 2013, Sat Oct 26 04:35:11 CEST 2013",Thees Uhlmann,Zugvögel
"24. September 2013, Tue Sep 24 20:39:13 CEST 2013",Bastille,Things We Lost in the Fire
"23. Oktober 2013, Wed Oct 23 15:34:58 CEST 2013",Bruno Mars,Locked out of heaven
"26. September 2013, Thu Sep 26 22:02:59 CEST 2013",Eminem,Berzerk
"30. Januar 2014, Thu Jan 30 21:53:00 CET 2014",Jake Bugg,What doesn't Kill you
"8. Februar 2014, Sat Feb 08 07:56:31 CET 2014",Clueso,Gewinner
